"address","area","baths","beds","buildingtype","latitude","longitude","neighborhood","price","borough","pricearea","coastdist"
"11-15 Saint Nicholas Avenue #4F",800,1,2,"Co-op",40.79940033,-73.95279694,"South Harlem",675000,"manhattan",843.75,1229.23001957147
"438 East 12th Street #5R",1604,3,3,"Condo",40.72900009,-73.98210144,"East Village",3450000,"manhattan",2150.87281796,701.180099539663
"151 West 21st Street #5B",1272,2,2,"Condo",40.74259949,-73.99549866,"Chelsea",2595000,"manhattan",2040.09433962,807.959922179637
"75 Kenmare Street #3J",994,2,2,"Condo",40.72129822,-73.99620056,"Nolita",2900000,"manhattan",2917.50503018,1215.57046759178
"310 East 53rd Street #6CD",2643,3,3,"Condo",40.75640106,-73.96690369,"Turtle Bay",6988000,"manhattan",2643.96519107,334.132548569446
"232 East 50th Street #4",1185,2,2,"Condo",40.75519943,-73.96949768,"Turtle Bay",1625000,"manhattan",1371.30801688,435.063698223882
"55 Wall Street #506",859,1,1,"Condo",40.7057991,-74.00930023,"Financial District",795000,"manhattan",925.49476135,346.943294069825
"101 Wall Street #11B",1417,2.5,2,"Condo",40.704848,-74.007018,"Financial District",2325000,"manhattan",1640.79040226,201.906978550604
"160 East 22nd Street #PHB",1881,2.5,3,"Condo",40.73809814,-73.98390198,"Gramercy Park",5995000,"manhattan",3187.13450292,869.08926526567
"175 East Broadway #3C",1060,2,3,"Condo",40.71390152,-73.98960114,"Two Bridges",1620000,"manhattan",1528.30188679,417.793311943876
"454 W 46th Street #5ES",1875,2,3,"Co-op",40.76179886,-73.99320221,"Hell's Kitchen",2725000,"manhattan",1453.33333333,332.025630569026
"100 Barclay Street #12K",2248,3.5,3,"Condo",40.714102,-74.012712,"Tribeca",4071000,"manhattan",1810.9430605,128.96298568192
"45 Park Avenue #903",1441,2.5,2,"Condo",40.748633,-73.979712,"Murray Hill",2995000,"manhattan",2078.41776544,757.669664843163
"11 Prince Street #3B",1000,1,2,"Condo",40.72280121,-73.9937973,"Nolita",1750000,"manhattan",1750,1277.76144986439
"450 West 17th Street #1508",1266,2,2,"Condo",40.74349976,-74.00640106,"West Chelsea",3250000,"manhattan",2567.14060032,64.8102155490922
"135 West 58th Street #3C",759,1,1,"Co-op",40.76570129,-73.97779846,"Midtown",720000,"manhattan",948.616600791,1061.50217056005
"301 East 22nd Street #11E",800,1,2,"Co-op",40.737276,-73.981089,"Gramercy Park",850000,"manhattan",1062.5,659.255009169205
"555 W 23rd Street #S4M",726,1,1,"Condo",40.74900055,-74.0059967,"West Chelsea",1225000,"manhattan",1687.32782369,32.889409329794
"39 East 29th Street #3D",792,1,1,"Condo",40.74440002,-73.98410034,"NoMad",1400000,"manhattan",1767.67676768,886.323622163
"99 John Street #410",704,1,1,"Condo",40.70819855,-74.0059967,"Fulton/Seaport",875000,"manhattan",1242.89772727,457.292373632169
"50 United Nations Plaza #15AB",3500,5,4,"Condo",40.7507019,-73.96849823,"Turtle Bay",8350000,"manhattan",2385.71428571,193.833780986394
"45 East 22nd Street #48B",2169,2,2,"Condo",40.73989868,-73.98729706,"Flatiron",8325000,"manhattan",3838.17427386,1122.65563168879
"2112 Broadway #PHF",2967,3.5,4,"Condo",40.77980042,-73.98120117,"Upper West Side",5700000,"manhattan",1921.13245703,301.528470783787
"345 East 93rd Street #15C",950,1,2,"Co-op",40.78179932,-73.94629669,"Yorkville",895000,"manhattan",942.105263158,168.354933434768
"311 Greenwich Street #6G",681,1,1,"Condo",40.71649933,-74.01049805,"Tribeca",1179000,"manhattan",1731.27753304,258.383431970062
"327 Central Park West #6E",910,1,1,"Condo",40.78969955,-73.96659851,"Upper West Side",950000,"manhattan",1043.95604396,796.104433007125
