address,area,baths,beds,building type,latitude,longitude,neighborhood,price
161 West 61st Street #10E,822.0,1.5,1.0,Condo,40.77159882,-73.9858017,Lincoln Square,1075000.0
212 East 47th Street #27H,700.0,1.0,1.0,Condo,40.75329971,-73.97170258,Turtle Bay,1100000.0
425 West 50th Street #14D,1416.0,2.0,1.0,Condo,40.764356,-73.990137,Hell's Kitchen,2498000.0
519 West 23rd Street #1FLR,1050.0,1.5,2.0,Condo,40.74810028,-74.00479889,West Chelsea,2100000.0
416 West 52nd Street #TH225,1254.0,1.5,1.0,Condo,40.76480103,-73.9890976,Hell's Kitchen,1515000.0
160 Central Park South #3111,950.0,1.0,1.0,Condo,40.76620102,-73.97859955,Central Park South,1350000.0
460 W 42nd Street #51G,782.0,1.0,1.0,Condo,40.75930023,-73.99530029,Hell's Kitchen,2068500.0
93 Worth Street #311,1515.0,2.5,2.0,Condo,40.716587,-74.004806,Tribeca,3245000.0
304 East 65th Street #37FL,4000.0,4.5,4.0,Condo,40.76390076,-73.96150208,Lenox Hill,9000000.0
101 West 78th Street #6C,3543.0,3.5,3.0,Condo,40.78160095,-73.97619629,Upper West Side,8995000.0
30 West 63rd Street #7K,1262.0,2.0,2.0,Condo,40.77080154,-73.9815979,Lincoln Square,2750000.0
260 Park Avenue South #2C,1407.0,2.0,2.0,Condo,40.73889923,-73.98770142,Flatiron,3200000.0
402 East 90th Street #1112B,2600.0,4.0,5.0,Condo,40.77899933,-73.9469986,Yorkville,3800000.0
1 Central Park South MANSION201,4665.0,4.5,4.0,Condo,40.76449966,-73.97450256,Central Park South,18995000.0
66 Madison Avenue #10F,1250.0,2.0,2.0,Co-op,40.74369812,-73.98639679,NoMad,1899000.0
50 Riverside Boulevard #7P,860.0,1.5,1.0,Condo,40.77529907,-73.9905014,Lincoln Square,1800000.0
15 Broad Street #1410,2220.0,3.0,3.0,Condo,40.70650101,-74.01059723,Financial District,3300000.0
50 E 72nd Street #8B,1607.0,3.5,3.0,Condo,40.77109909,-73.96459961,Lenox Hill,4375000.0
101 W 24th Street #6E,1327.0,2.0,2.0,Condo,40.74399948,-73.99240112,Chelsea,3000000.0
400 Fifth Avenue #42B,806.0,1.5,1.0,Condo,40.75019836,-73.9835968,Midtown South,1695000.0
55 West 17th Street #404,1349.0,2.0,2.0,Condo,40.73920059,-73.99479675,Flatiron,2799990.0
515 East 72nd Street #7G,687.0,1.0,1.0,Condo,40.76689911,-73.95269775,Upper East Side,1098000.0
200 East 69th Street #21BC,3610.0,6.0,6.0,Condo,40.76729965,-73.96179962,Lenox Hill,7200000.0
505 W 47th Street #2FS,832.0,1.0,1.0,Condo,40.76340103,-73.99369812,Hell's Kitchen,1160000.0
426 W 58th Street #1A,2355.0,2.5,3.0,Condo,40.76879883,-73.98629761,Hell's Kitchen,2495000.0
45 West 67th Street #33B,1950.0,2.5,2.0,Condo,40.77420044,-73.98059845,Lincoln Square,5300000.0
39 E 29th Street #22B,855.0,1.0,1.0,Condo,40.74440002,-73.98410034,NoMad,1790000.0
25 Central Park W #2N,2138.0,2.5,2.0,Condo,40.770401,-73.98090363,Lincoln Square,4995000.0
240 East 47th Street #33B,1175.0,1.5,2.0,Condo,40.75289917,-73.97039795,Turtle Bay,1525000.0
2 River Terrace #4S,1320.0,2.5,2.0,Condo,40.71559906,-74.01609802,Battery Park City,2975000.0
308 East 72nd Street #5D,1679.0,3.0,2.0,Condo,40.768471,-73.95804,Lenox Hill,2450000.0
161 West 61st Street #10E,822.0,1.5,1.0,Condo,40.77159882,-73.9858017,Lincoln Square,1075000.0
301 West 110th Street #19B,589.0,1.0,1.0,Condo,40.80110168,-73.95850372,South Harlem,650000.0
118 East 60th Street #7H,1450.0,2.0,2.0,Co-op,40.76279831,-73.96869659,Lenox Hill,1525000.0
212 E 57th Street #19B,700.0,1.0,1.0,Condo,40.75970078,-73.96700287,Sutton Place,990000.0
415 East 37th Street #14A,885.0,1.0,1.0,Condo,40.74560165,-73.97129822,Murray Hill,1375000.0
305 East 51st Street #10A,1866.0,3.0,3.0,Condo,40.75540161,-73.96759796,Turtle Bay,3695000.0
45 Park Avenue #1403,1441.0,2.5,2.0,Condo,40.74860001,-73.97969818,Murray Hill,2995000.0
415 East 37th Street #35F,1350.0,2.5,2.0,Condo,40.74560165,-73.97129822,Murray Hill,1975000.0
120 Riverside Boulevard #8R,851.0,1.0,1.0,Condo,40.77640152,-73.9890976,Lincoln Square,1450000.0
303 East 33rd Street #4C,1062.0,1.0,1.0,Condo,40.74409866,-73.97570038,Kips Bay,1575000.0
65 Irving Place,7535.0,3.5,2.0,Townhouse,40.73669815,-73.98709869,Gramercy Park,28500000.0
50 East 72nd Street #5C,1250.0,2.0,2.0,Condo,40.77109909,-73.96459961,Lenox Hill,2500000.0
350 West 50th Street #27B,1091.0,2.0,2.0,Condo,40.762894,-73.988074,Hell's Kitchen,1750000.0
